,0,1,2,3,4
892ab94a-5843-4892-939a-02f44dc38cf9,"GREENPEACE, INC.","GREENPEACE, INC",14543.99,2011-04-20T15:06:15.100000-04:00,2011
43b39fda-f7e6-4a40-883e-f8d93e72869b,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,190000.00,2011-04-20T16:54:41.033000-04:00,2011
5683dd94-3985-47b8-b879-323a23abe969,GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),8590000.00,2011-04-20T17:17:22.867000-04:00,2011
6296b4f9-5087-4151-aba2-6bc930d56a28,MWW GROUP,UNIVERSITY OF TULSA,,2011-04-20T17:34:09.413000-04:00,2011
49a4759f-92a3-4c12-b5c0-dedf8c2fbf6a,TEMPLE-INLAND INC.,TEMPLE-INLAND INC,100000.00,2011-07-12T14:46:58.457000-04:00,2011
66aab8ea-7423-465a-8dd1-2e5ee80ed8b6,THE PENNSYLVANIA STATE UNIVERSITY,PENNSYLVANIA STATE UNIVERSITY,100000.00,2011-07-15T13:53:49.203000-04:00,2011
b9b46757-ca7c-48ab-8948-0ef84855fb02,CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY,110000.00,2011-07-15T16:32:54.247000-04:00,2011
f53b04d4-56dc-4dab-a71a-99d3a79fbb8e,"PROGRESS ENERGY, INC.",PROGRESS ENERGY INC,360000.00,2011-07-18T13:37:06.507000-04:00,2011
da70c1ba-e14a-43e1-8f65-d45d15cca586,DENNY MILLER ASSOCIATES,RAMGEN POWER SYSTEMS,,2011-07-18T15:07:52.270000-04:00,2011
74814313-aebb-493a-930c-940b7cf728f5,AMERICAN CAPITOL GROUP,COLORADO SCHOOL OF MINES FOUNDATION,,2011-07-19T14:32:48.167000-04:00,2011
b7d948fc-cedb-4bb3-9c3b-9d70ec5819ac,AMERICAN CAPITOL GROUP,UNIVERSITY OF UTAH,,2011-07-19T14:38:07.277000-04:00,2011
ccf6acb9-99c0-40a1-8485-afa57558b9e6,GREYSTONE GROUP LLC,UNIVERSITY OF NORTH DAKOTA,,2011-07-19T15:24:52.947000-04:00,2011
094d525e-3f89-4a42-a177-d4a69c0e2274,LEAGUE OF CONSERVATION VOTERS,LEAGUE OF CONSERVATION VOTERS,40000.00,2011-07-20T13:46:02.763000-04:00,2011
d7fc963d-335d-4fb8-9e56-8bce8613c0bc,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,235000.00,2011-07-20T14:59:03.587000-04:00,2011
be9aebe2-a73a-45a0-9f39-1a84a3d8b620,GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),6770000.00,2011-07-20T16:22:36.570000-04:00,2011
97298e50-ea98-450b-9b2f-fd554837c75e,"SIGNAL GROUP CONSULTING, LLC",AKERMIN INC,,2011-07-20T17:58:40.843000-04:00,2011
d5665ca7-c2a0-487a-a7e0-ea8a1afda072,"SIGNAL GROUP CONSULTING, LLC",EASTMAN CHEMICAL COMPANY,,2011-07-20T18:27:36.437000-04:00,2011
c347dabb-9e6f-4ac0-b565-6277747babc5,"K&L GATES, LLP",ACCELERGY CORPORATION,,2011-07-20T19:01:50.123000-04:00,2011
17b5bf80-dd8f-4845-a308-6f09c955c4ca,MWW GROUP,UNIVERSITY OF TULSA,,2011-07-20T19:02:52.917000-04:00,2011
5ab20266-ffaa-4304-9dcf-6ee7e427bfe2,"SIGNAL GROUP CONSULTING, LLC",HONEYWELL INTERNATIONAL INC.,,2011-07-20T19:17:11.060000-04:00,2011
7f18925b-c9ca-42c2-a79d-5b0de3741859,CHARLES ESTES,EASTMAN CHEMICAL COMPANY,,2011-07-27T16:15:58.147000-04:00,2011
2f97a3a5-53bd-42fe-88d0-489e5c2d6616,"K&L GATES, LLP",ACCELERGY CORPORATION,,2011-10-13T14:59:32.597000-04:00,2011
d35d1b55-050e-4d46-8e43-839ff87a2d41,AMERICAN CAPITOL GROUP,COLORADO SCHOOL OF MINES FOUNDATION,,2011-10-14T11:29:00.937000-04:00,2011
dd5d0eb1-d70c-4b6c-b76f-3a1301edd478,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,225000.00,2011-10-17T13:21:22.717000-04:00,2011
39340be6-0dc6-4caa-a1de-c6317477ff42,UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH,100000.00,2011-10-18T15:47:32.227000-04:00,2011
e3a0bfef-f0b9-4d2c-b4ce-fc074e15ed95,"PROGRESS ENERGY, INC.",PROGRESS ENERGY INC,340000.00,2011-10-19T11:36:30.273000-04:00,2011
83f35469-1b3c-4c2d-8198-ef53d588c667,AMERICAN CAPITOL GROUP,UNIVERSITY OF UTAH,,2011-10-19T15:24:12.737000-04:00,2011
99a3686b-f24c-411f-a17a-d6ae90555286,CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY,110000.00,2011-10-19T15:37:18.980000-04:00,2011
5e67dad4-fadd-4b74-a239-2647a65a2fa1,GREYSTONE GROUP LLC,UNIVERSITY OF NORTH DAKOTA,,2011-10-19T17:49:08.383000-04:00,2011
