,0,1,2,3,4
dbc7d10c-7106-4d64-99be-bcd7f59b7bf7,THE WASHINGTON TAX & PUBLIC POLICY GROUP (FORMERLY THE WASHINGTON TAX GROUP),NANOSOLAR,,2011-01-14T12:32:18.417000-05:00,2010
1789f965-8822-46fa-b912-89b8e2d3654f,THE WASHINGTON TAX & PUBLIC POLICY GROUP (FORMERLY THE WASHINGTON TAX GROUP),NEXTERA ENERGY CAPITAL HOLDINGS INC. (FORMERLY NEXTERA ENERGY INC.),,2011-01-14T12:34:19.370000-05:00,2010
b6bd6a83-4cee-465f-a1a1-603a457db232,VAN SCOYOC ASSOCIATES,BOWLING GREEN STATE UNIVERSITY,,2011-01-17T13:24:49.897000-05:00,2010
e13eb7ee-7940-4dff-b259-5416fcff5cae,ALCALDE & FAY,"CITY OF GOODYEAR, AZ",,2011-01-17T16:11:31.100000-05:00,2010
6efb54dc-14aa-49ac-8b1c-b1b77ffb8c54,THE PENNSYLVANIA AVENUE GROUP,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL FOUNDATION,,2011-01-17T19:27:57.677000-05:00,2010
43945031-531f-41c4-b9fa-05f7ce2a6359,"WHITMER & WORRALL, LLC",PLEXTRONICS INC,,2011-01-18T09:44:20.307000-05:00,2010
2aa0e7a6-a944-4e3c-8d15-c4c91bc44c01,"ML STRATEGIES, LLC",NEW ENTERPRISE ASSOCIATES,,2011-01-18T13:45:40.990000-05:00,2010
983b7972-0565-4b1d-b7d1-2c87a4df5959,"CASSIDY & ASSOCIATES, INC.",RESOURCES LEGACY FUND,,2011-01-18T14:24:48.650000-05:00,2010
d91bb457-9f5e-4d4f-b4ac-902e4b6123ce,"ML STRATEGIES, LLC","SUNIVA, INC.",,2011-01-18T15:39:02.337000-05:00,2010
a2d095d6-c50b-4c98-ac88-412702b0e891,"CORNERSTONE GOVERNMENT AFFAIRS, INC.","ENERGY CONVERSION DEVICES, INC.",,2011-01-18T15:42:19.460000-05:00,2010
bf4eb2b8-153c-49c2-a758-faed4c74cf5e,JENNEFER HIRSHBERG,"ALCALDE & FAY (CITY OF GOODYEAR, AZ)",,2011-01-18T20:32:02.193000-05:00,2010
9cbd8ee7-bd4d-4b04-8aed-f3bb71a6965b,"EMMER CONSULTING, INC. (FORMERLY KNOWN AS EMMER CONSULTING, P.C.)","LENNAR CORPORATION (FORMERLY STRATEGIC HOLDINGS, INC.)",,2011-01-19T09:40:27.817000-05:00,2010
9b52747b-bd5d-43e0-bcef-34690b65ec57,"ML STRATEGIES, LLC",BABCOCK & WILCOX COMPANY,,2011-01-19T10:21:33.067000-05:00,2010
eefde28a-ea0f-4451-b08b-975229617d77,"ML STRATEGIES, LLC",APCO WORLDWIDE (DOW CORNING),,2011-01-19T10:49:41.833000-05:00,2010
7918d802-a207-4844-8c29-c45f5bf557ab,AKIN GUMP STRAUSS HAUER & FELD,"PEGASUS CAPITAL ADVISORS, L.P.",,2011-01-19T11:29:57.263000-05:00,2010
85c3106e-9148-43cf-bc73-e51fc5a7eb12,"MERCURY PUBLIC AFFAIRS, LLC","BREWER SCIENCE, INC.",,2011-01-19T13:02:01.973000-05:00,2010
294cc7bf-9798-4302-bc8b-35d22648d75a,"CARDENAS PARTNERS, LLC",STRATEGIC HOLDINGS LLC,,2011-01-19T13:07:23.333000-05:00,2010
820fcc79-94c5-4e76-a5ed-4d9ecb7c356d,"THE NORMANDY GROUP, LLC",UNIVERSITY OF NEW HAVEN,,2011-01-19T13:38:29.240000-05:00,2010
3d883351-0d4c-42eb-be90-f1d84a01a83b,"PPG INDUSTRIES, INC","PPG INDUSTRIES, INC",253183.48,2011-01-19T15:00:50.817000-05:00,2010
f2c10b8f-6c3e-4e27-b284-47897ef29ffc,"VAN HEUVELEN STRATEGIES, LLC","FIRST SOLAR, INC.",,2011-01-19T14:58:36.973000-05:00,2010
734211f3-615f-4135-9c3b-409629599a0d,"VAN HEUVELEN STRATEGIES, LLC",NANOSOLAR,,2011-01-19T15:04:21.207000-05:00,2010
c544dd40-5b9f-4ddd-8068-c4e11e1fe3da,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,100000.00,2011-01-19T15:28:17.787000-05:00,2010
3d5b0559-b703-4661-a8d1-3940c15b6c00,SOLARCITY,SOLARCITY,30000.00,2011-01-19T15:45:03.267000-05:00,2010
7eafcab5-86ae-4a32-9704-83fc3b1aed98,"K&L GATES, LLP",EIKOS,,2011-01-19T15:52:57.270000-05:00,2010
46560b00-6d22-4491-8064-8f8458980a0d,DEL MONTE FOODS,DEL MONTE FOODS,45000.00,2011-01-19T15:55:26.957000-05:00,2010
940dac96-1022-4679-a58b-60095d5dc24d,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",EPIR TECHNOLOGIES INC,,2011-01-19T16:53:41.190000-05:00,2010
3cb5ee0b-e304-42ed-959d-b61f4f2a3ab9,"MARCUS G. FAUST, PC",LAS VEGAS VALLEY WATER DISTRICT,,2011-01-19T17:00:33.313000-05:00,2010
62d31993-3a68-4087-99ac-324c3c4dbe82,"SCHOTT NORTH AMERICA, INC.",SCHOTT NORTH AMERICA INC,121500.00,2011-01-19T17:08:35.233000-05:00,2010
8b0b4a28-02ec-4a4b-9b66-2043c08fbb28,THE NATURE CONSERVANCY,NATURE CONSERVANCY,450000.00,2011-01-19T17:38:54.297000-05:00,2010
