,0,1,2,3
e7010410-3175-4fda-9632-7e298b7ebd7a,THE BRIGHTUP GROUP LLC,,2015-01-20T14:47:15.683000-05:00,2014
f0beb419-27cc-4241-a8c5-c95dd3a9f55b,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,95000.00,2015-01-20T18:48:38.287000-05:00,2014
e1a58e1d-0976-4eef-b6b7-412ea49faa78,"LIONEL ""LEO"" AGUIRRE",,2015-01-20T23:18:48.920000-05:00,2014
49b4ad50-3502-4c1b-8299-b76a10f6c0ef,LEAGUE OF WOMEN VOTERS OF THE U.S.,69782.00,2015-04-19T14:14:38.143000-04:00,2015
b57b0964-d877-4b1b-baac-a97cabbfe8f3,THE BRIGHTUP GROUP LLC,,2015-04-19T18:18:23.047000-04:00,2015
0e79da44-305e-49e1-8b12-b3ef2ff8de3f,AMERICAN CIVIL LIBERTIES UNION,426551.00,2015-04-20T17:18:20.623000-04:00,2015
6f461509-ad81-4973-9767-c9d7b73db92d,"LIONEL ""LEO"" AGUIRRE",,2015-04-20T19:16:23.973000-04:00,2015
dd83e1c7-f97e-44dd-802e-6a510c6bdbde,ANTI-DEFAMATION LEAGUE,40000.00,2015-04-28T17:02:10.423000-04:00,2015
91246211-059e-4b20-8727-c3751680e0c2,"LIONEL ""LEO"" AGUIRRE",,2015-07-07T15:58:45.297000-04:00,2015
efa3a773-b3cb-454f-b4d4-6c03526aca08,LEAGUE OF WOMEN VOTERS OF THE U.S.,36750.81,2015-07-10T16:57:06.357000-04:00,2015
135dd5c2-6b81-4d7f-8bb0-e896d4d6de58,THE BRIGHTUP GROUP LLC,,2015-07-19T18:08:47.243000-04:00,2015
be0df782-cef7-4e39-9199-ccb44c7bba25,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,95000.00,2015-07-20T17:14:46.863000-04:00,2015
9c0887d1-cc65-434d-88fe-5b17fd52f58d,AMERICAN CIVIL LIBERTIES UNION,746129.19,2015-07-20T17:31:04.083000-04:00,2015
e3b6b847-d476-49c4-a873-b92c19324e8d,ANTI-DEFAMATION LEAGUE,40000.00,2015-08-03T12:31:00.267000-04:00,2015
df54888e-3427-422b-a808-1ae9d028af36,THE BRIGHTUP GROUP LLC,,2015-10-18T19:53:54.203000-04:00,2015
595518d8-261c-4283-ba6a-bbffb67e3405,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,95000.00,2015-10-20T14:14:49.250000-04:00,2015
322ba822-b795-4636-af26-35f636f81f63,LEAGUE OF WOMEN VOTERS OF THE U.S.,70000.00,2015-10-20T14:29:25.547000-04:00,2015
34ec4c44-93ee-478d-9153-ce3ab4c0f18a,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,95000.00,2015-10-20T15:00:31-04:00,2015
fb935854-536a-4338-a26e-96d2b80314b1,AMERICAN CIVIL LIBERTIES UNION,337134.00,2015-10-20T16:53:31.720000-04:00,2015
aaccee21-f845-4d73-9079-471c55001003,"LIONEL ""LEO"" AGUIRRE",,2015-10-20T20:31:28.263000-04:00,2015
2b17b159-cb46-47e7-aca0-903f1cd36159,ANTI-DEFAMATION LEAGUE,40000.00,2015-11-02T13:04:28.697000-05:00,2015
acbc15ab-5d54-448e-95c2-427c7ffa2b26,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,68750.00,2016-01-19T11:23:01.953000-05:00,2015
5811da45-adba-4932-8371-46b186e4a593,THE BRIGHTUP GROUP LLC,,2016-01-20T15:11:06.283000-05:00,2015
90a075bc-9140-4c36-9fa4-dcc5557949f5,AMERICAN CIVIL LIBERTIES UNION,276376.00,2016-01-20T17:44:35.827000-05:00,2015
4d06c1d1-5c0b-46ab-b49a-befd2ab59b49,"LIONEL ""LEO"" AGUIRRE",,2016-01-20T23:09:12.247000-05:00,2015
01a9ac8d-9268-456c-8119-90f2c6e54ba2,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,95000.00,2016-01-22T15:42:27.513000-05:00,2015
2b805359-1f9d-4839-8f77-ac821e9355f3,AMERICAN CIVIL LIBERTIES UNION,337134.00,2016-01-28T12:28:31.567000-05:00,2015
6c3e4240-c421-47cb-949d-f906d09f92c9,ANTI-DEFAMATION LEAGUE,40000.00,2016-02-09T13:19:39.040000-05:00,2015
ef17a7ec-f72b-4b92-82b6-86b35d6d1a61,LEAGUE OF WOMEN VOTERS OF THE U.S.,48244.00,2016-02-24T16:31:37.657000-05:00,2015
