,0,1,2,3,4
f705db4d-09c3-486c-95cf-498794fed03a,NATIONAL WATER RESOURCES ASSOCIATION,NATIONAL WATER RESOURCES ASSOCIATION,80000.00,2011-01-20T10:28:29.047000-05:00,2010
00994680-1662-45ad-bea3-e9d15f2b8866,INVARIANT LLC,BROOKFIELD POWER US ASSET MANAGEMENT,,2011-01-20T11:39:33.717000-05:00,2010
312471d9-b782-4733-9900-4d9accf29f2a,STRATEGIES 360,GRANT PUBLIC UTILITY DISTRICT,,2011-01-20T12:53:31.763000-05:00,2010
b28df9a4-35f4-4c02-ad5e-6bb4f256d9f5,STRATEGIES 360,COWLITZ PUBLIC UTILITY DISTRICT,,2011-01-20T12:55:54.683000-05:00,2010
d5cb8a85-d35b-434b-96dd-c7eeb849482e,PORTLAND GENERAL ELECTRIC,PORTLAND GENERAL ELECTRIC,110000.00,2011-01-20T15:38:57.100000-05:00,2010
77a9fd86-2b1d-4c00-816c-bb7a20be1852,"EXELON BUSINESS SERVICES, LLC",EXELON BUSINESS SERVICES LLC,672042.00,2011-01-20T15:49:31.880000-05:00,2010
bf311be9-993c-4f57-bacf-6e07f53f299e,"EXELON BUSINESS SERVICES, LLC",EXELON BUSINESS SERVICES LLC,672042.00,2011-01-20T15:59:38.460000-05:00,2010
5b137c75-d156-42cc-86bb-73b4d6d462b9,AMERICAN PUBLIC POWER ASSOCIATION,AMERICAN PUBLIC POWER ASSOCIATION,121804.00,2011-01-20T16:25:51.617000-05:00,2010
d55b62cd-686b-4d39-962f-b96d10cfcdd5,PACIFIC GAS AND ELECTRIC COMPANY,PACIFIC GAS AND ELECTRIC COMPANY,670000.00,2011-01-20T17:02:49.240000-05:00,2010
1f139afe-1cbb-4203-91d3-ca454a884423,AMEREN SERVICES,AMEREN SERVICES,2060000.00,2011-01-20T17:21:30.723000-05:00,2010
cb11f0ce-7f9e-475a-be63-d4d20bd0d9d8,PACIFIC NORTHWEST WATERWAYS ASSOCIATION (PNWA),PACIFIC NORTHWEST WATERWAYS ASSOCIATION,10000.00,2011-01-20T17:23:03.193000-05:00,2010
a0d0fefa-07eb-45c1-a4fc-cfc0ef73342c,AMERICAN RIVERS,AMERICAN RIVERS,26676.14,2011-01-20T17:42:55.660000-05:00,2010
2066255b-8e5e-4edc-bee9-5c3417ccc863,AMEREN SERVICES,AMEREN SERVICES,1810000.00,2011-01-31T11:29:32.370000-05:00,2010
eeaeca0a-2166-4ee3-9ab4-c7305bae4c14,BUTTERFIELD EVANS & ASSOCIATES LLC,MWH,,2011-04-06T14:17:01.673000-04:00,2011
971dc490-7a07-4ca1-ace5-8109e24411d3,BALL JANIK LLP,NORTHWEST RIVERPARTNERS,,2011-04-08T15:29:35.043000-04:00,2011
ecfd82ee-538f-43cb-a2c5-a2f0084123db,SCHIFF & HARDIN LLP,SOUTHEASTERN FEDERAL POWER CUSTOMERS INC,,2011-04-13T14:24:04.353000-04:00,2011
87a61c40-8dc7-43c2-a432-18767a5feb94,"ROBERTSON, MONAGLE, AND EASTAUGH",FOUR DAM POOL ( NOW SOUTH EAST POWER AK POWER AGENCY),,2011-04-13T17:13:33.387000-04:00,2011
24604028-8708-4952-ba6f-7253d10677ad,STRATEGIES 360,CHELAN PUBLIC UTILITY DISTRICT,,2011-04-14T10:04:33.283000-04:00,2011
c71136ef-73c5-46f4-91cd-56f2702a89ab,"DUTKO WORLDWIDE, LLC",STRAWBERRY WATERS USERS ASSN,,2011-04-14T13:54:35.297000-04:00,2011
4aacd95b-2825-4311-b8aa-ad41fbadd37f,SALT RIVER PROJECT,SALT RIVER PROJECT,200000.00,2011-04-14T18:32:51.773000-04:00,2011
3805f20b-b543-4d4d-b62b-08ba4a25077c,SALT RIVER PROJECT,SALT RIVER PROJECT,200000.00,2011-04-15T11:01:27.477000-04:00,2011
b6e8d189-da8c-4b3d-92b1-a81d6f754fbd,INTERNATIONAL UNION OF OPERATING ENGINEERS,INTERNATIONAL UNION OF OPERATING ENGINEERS,140000.00,2011-04-15T14:13:35.707000-04:00,2011
3e68162f-ce00-4b4a-8c2b-cc1f13bf93e3,"RKB STRATEGIES, LLC (FKA RKB CONSULTING, LLC)",NATIONAL HYDROPOWER ASSOCIATION,,2011-04-18T10:33:30.073000-04:00,2011
f1acef4d-39c8-4e65-bdf1-9e28b24a43e8,"PARK STRATEGIES, LLC",BROOKFIELD POWER US ASSET MANAGEMENT,,2011-04-18T15:56:49.090000-04:00,2011
4709b736-cb52-48fb-9086-68b303b91752,"PROGRESS ENERGY, INC.",PROGRESS ENERGY INC,680000.00,2011-04-19T11:26:45.047000-04:00,2011
d9376e15-05e0-45b8-9d00-b645e17bea3a,BROOKFIELD POWER US ASSET MANAGEMENT LLC,BROOKFIELD POWER US ASSET MANAGEMENT LLC,120000.00,2011-04-19T11:43:10.267000-04:00,2011
6e7e9ed6-e087-46c4-9657-b84d1826a159,MID-WEST ELECTRIC CONSUMERS ASSOCIATION,MID-WEST ELECTRIC CONSUMERS ASSOCIATION,,2011-04-19T11:42:08.063000-04:00,2011
2a85f8ea-c334-4dba-adc7-7d3ccd7bd81a,DUKE ENERGY CORPORATION,DUKE ENERGY CORPORATION,1470000.00,2011-04-19T12:02:54.140000-04:00,2011
1db97bac-7a6b-4d88-beb7-176e426351fd,INVARIANT LLC,BROOKFIELD POWER US ASSET MANAGEMENT,,2011-04-19T13:55:46.383000-04:00,2011
626e2ae3-3c05-4be9-9417-3b446964079a,"MORGAN MEGUIRE, LLC",COLORADO RIVER ENERGY DISTRIBUTORS ASSOCIATION,,2011-04-19T14:20:58.290000-04:00,2011
fa0d4e64-e73d-475d-9163-b6ab6bbd6d0b,"MORGAN MEGUIRE, LLC",NORTHEAST PUBLIC POWER ASSOCIATION,,2011-04-19T14:26:25.070000-04:00,2011
89a64fd2-9fe4-4471-aa13-2b535d0ee495,"MORGAN MEGUIRE, LLC",TURLOCK IRRIGATION DISTRICT,,2011-04-19T14:45:19.680000-04:00,2011
98db12b9-57c8-4ffc-8d48-a1e3c641fca1,"MORGAN MEGUIRE, LLC",ELECTRICAL DISTRICT NO 8,,2011-04-19T14:50:47.370000-04:00,2011
29eccd85-d37b-45b4-bbd3-f5a40f03c38e,"MORGAN MEGUIRE, LLC",SACRAMENTO MUNICIPAL UTILITY DISTRICT,,2011-04-19T14:54:09.650000-04:00,2011
b0005b59-ca5c-426a-87da-739156e03738,"MORGAN MEGUIRE, LLC",WASHINGTON PUBLIC UTILITY DISTRICTS ASSOCIATION,,2011-04-19T14:57:30.367000-04:00,2011
a966b7a1-e759-4f1d-94f8-f9dcb946614a,"KANNER & ASSOCIATES, LLC",PUBLIC POWER COUNCIL,,2011-04-19T15:51:33.930000-04:00,2011
088a0285-6f55-4b5f-848c-86a792e141d0,"KANNER & ASSOCIATES, LLC",NORTHERN CALIFORNIA POWER AGENCY,,2011-04-19T16:07:55.647000-04:00,2011
8335f491-c73d-4dfd-9937-7a7c28966b68,STRATEGIES 360,VOITH HYDRO,,2011-04-19T16:27:24.053000-04:00,2011
9d11705f-0461-4202-9af0-1d03023cc723,STRATEGIES 360,SYMBIOTICS ENERGY,,2011-04-19T16:34:04.590000-04:00,2011
0f23f3fd-11c1-4d12-861f-7434d342fe87,PETER CARLSON,OREGON WATER RESOURCES CONGRESS,,2011-04-20T10:24:23.150000-04:00,2011
